transaction_date,transactions,successful,failed,transaction_value,success_rate,prev_day_txns,day_change_pct,anomaly_flag
2026-01-01,9,4,5,53003.149999999994,44.44,,,NORMAL
2026-01-02,13,13,0,110852.59,100.0,9.0,44.44,NORMAL
2026-01-03,11,9,2,88000.18,81.82,13.0,-15.38,NORMAL
2026-01-04,10,8,1,80560.59,80.0,11.0,-9.09,NORMAL
2026-01-05,10,9,1,45192.06,90.0,10.0,0.0,NORMAL
2026-01-06,13,9,4,135794.23,69.23,10.0,30.0,NORMAL
2026-01-07,17,15,2,78917.7,88.24,13.0,30.77,NORMAL
2026-01-08,10,9,1,64619.020000000004,90.0,17.0,-41.18,DROP_OFF
2026-01-09,11,10,0,56268.94,90.91,10.0,10.0,NORMAL
2026-01-10,7,6,1,41859.93,85.71,11.0,-36.36,DROP_OFF
2026-01-11,13,12,1,81219.5,92.31,7.0,85.71,NORMAL
2026-01-12,12,10,2,72593.78,83.33,13.0,-7.69,NORMAL
2026-01-13,6,4,2,41912.32,66.67,12.0,-50.0,DROP_OFF
2026-01-14,12,9,2,67238.33,75.0,6.0,100.0,NORMAL
2026-01-15,14,12,2,103280.32,85.71,12.0,16.67,NORMAL
2026-01-16,12,10,1,108099.15,83.33,14.0,-14.29,NORMAL
2026-01-17,12,11,0,118235.84,91.67,12.0,0.0,NORMAL
2026-01-18,18,15,2,120531.97,83.33,12.0,50.0,NORMAL
2026-01-19,12,12,0,76186.31,100.0,18.0,-33.33,DROP_OFF
2026-01-20,13,13,0,81724.07,100.0,12.0,8.33,NORMAL
2026-01-21,8,6,2,53855.88,75.0,13.0,-38.46,DROP_OFF
2026-01-22,10,8,2,75387.63,80.0,8.0,25.0,NORMAL
2026-01-23,6,4,2,42778.840000000004,66.67,10.0,-40.0,DROP_OFF
2026-01-24,8,5,2,57080.76,62.5,6.0,33.33,NORMAL
2026-01-25,6,4,1,49983.7,66.67,8.0,-25.0,DROP_OFF
2026-01-26,13,6,4,78851.71,46.15,6.0,116.67,NORMAL
2026-01-27,13,7,5,68296.61,53.85,13.0,0.0,NORMAL
2026-01-28,11,10,1,106846.97,90.91,13.0,-15.38,NORMAL
2026-01-29,6,6,0,57894.21,100.0,11.0,-45.45,DROP_OFF
2026-01-30,10,8,1,92371.55,80.0,6.0,66.67,NORMAL
2026-01-31,14,12,1,72589.69,85.71,10.0,40.0,NORMAL
2026-02-01,14,13,0,108704.47,92.86,14.0,0.0,NORMAL
2026-02-02,11,8,2,94264.96,72.73,14.0,-21.43,DROP_OFF
2026-02-03,8,6,2,71096.38,75.0,11.0,-27.27,DROP_OFF
2026-02-04,20,20,0,147825.53,100.0,8.0,150.0,NORMAL
2026-02-05,11,9,1,92642.66,81.82,20.0,-45.0,DROP_OFF
2026-02-06,6,3,3,49073.28,50.0,11.0,-45.45,DROP_OFF
2026-02-07,8,6,2,59150.96,75.0,6.0,33.33,NORMAL
2026-02-08,16,13,3,96915.52,81.25,8.0,100.0,NORMAL
2026-02-09,10,8,2,95700.46,80.0,16.0,-37.5,DROP_OFF
2026-02-10,16,15,0,111222.05,93.75,10.0,60.0,NORMAL
2026-02-11,10,7,0,70590.82,70.0,16.0,-37.5,DROP_OFF
2026-02-12,11,10,1,106523.53,90.91,10.0,10.0,NORMAL
2026-02-13,13,12,1,98581.77,92.31,11.0,18.18,NORMAL
2026-02-14,8,7,1,61665.28999999999,87.5,13.0,-38.46,DROP_OFF
2026-02-15,9,8,1,60703.659999999996,88.89,8.0,12.5,NORMAL
2026-02-16,10,9,1,57334.25,90.0,9.0,11.11,NORMAL
2026-02-17,13,10,3,119978.39,76.92,10.0,30.0,NORMAL
2026-02-18,6,2,3,47818.55,33.33,13.0,-53.85,DROP_OFF
2026-02-19,4,2,0,25061.170000000002,50.0,6.0,-33.33,DROP_OFF
2026-02-20,8,4,2,73778.02,50.0,4.0,100.0,NORMAL
2026-02-21,13,8,4,84575.8,61.54,8.0,62.5,NORMAL
2026-02-22,18,16,2,133754.47999999998,88.89,13.0,38.46,NORMAL
2026-02-23,10,9,0,95435.65,90.0,18.0,-44.44,DROP_OFF
2026-02-24,12,10,2,97588.11,83.33,10.0,20.0,NORMAL
2026-02-25,9,6,3,61091.89,66.67,12.0,-25.0,DROP_OFF
2026-02-26,17,12,3,110469.13,70.59,9.0,88.89,NORMAL
2026-02-27,12,10,2,91859.31,83.33,17.0,-29.41,DROP_OFF
2026-02-28,12,8,3,83203.53,66.67,12.0,0.0,NORMAL
2026-03-01,9,5,2,61115.79,55.56,12.0,-25.0,DROP_OFF
2026-03-02,16,13,3,116178.74,81.25,9.0,77.78,NORMAL
2026-03-03,10,9,1,75167.75,90.0,16.0,-37.5,DROP_OFF
2026-03-04,10,9,1,67382.19,90.0,10.0,0.0,NORMAL
2026-03-05,14,11,3,114705.77,78.57,10.0,40.0,NORMAL
2026-03-06,12,11,1,89820.44,91.67,14.0,-14.29,NORMAL
2026-03-07,9,8,1,60182.01,88.89,12.0,-25.0,DROP_OFF
2026-03-08,11,9,1,107810.17,81.82,9.0,22.22,NORMAL
2026-03-09,12,10,1,79922.28,83.33,11.0,9.09,NORMAL
2026-03-10,7,6,1,51224.35,85.71,12.0,-41.67,DROP_OFF
2026-03-11,12,11,1,102776.57,91.67,7.0,71.43,NORMAL
2026-03-12,12,10,1,77251.64,83.33,12.0,0.0,NORMAL
2026-03-13,13,10,3,133092.3,76.92,12.0,8.33,NORMAL
2026-03-14,9,5,4,67702.49,55.56,13.0,-30.77,DROP_OFF
2026-03-15,9,8,1,73474.47,88.89,9.0,0.0,NORMAL
2026-03-16,10,6,3,72469.76,60.0,9.0,11.11,NORMAL
2026-03-17,6,5,1,46332.520000000004,83.33,10.0,-40.0,DROP_OFF
2026-03-18,18,13,5,119525.5,72.22,6.0,200.0,NORMAL
2026-03-19,6,5,1,40827.020000000004,83.33,18.0,-66.67,DROP_OFF
2026-03-20,14,10,2,109448.58,71.43,6.0,133.33,NORMAL
2026-03-21,7,5,1,46151.17,71.43,14.0,-50.0,DROP_OFF
2026-03-22,12,9,2,75360.97,75.0,7.0,71.43,NORMAL
2026-03-23,9,8,0,50097.88,88.89,12.0,-25.0,DROP_OFF
2026-03-24,9,8,1,87758.97,88.89,9.0,0.0,NORMAL
2026-03-25,10,8,1,32470.48,80.0,9.0,11.11,NORMAL
2026-03-26,13,12,0,108241.0,92.31,10.0,30.0,NORMAL
2026-03-27,13,12,0,103522.32,92.31,13.0,0.0,NORMAL
2026-03-28,16,13,2,138645.95,81.25,13.0,23.08,NORMAL
2026-03-29,11,9,1,87788.74,81.82,16.0,-31.25,DROP_OFF
2026-03-30,14,12,2,112313.9,85.71,11.0,27.27,NORMAL
2026-03-31,12,10,1,73738.79,83.33,14.0,-14.29,NORMAL
