transaction_id,transaction_date,merchant,payment_gateway,payment_method,amount,status,failure_reason,gateway_fee,settlement_amount,settlement_date,reconciliation_status
1,2026-03-23,MediPlus,Cashfree,Card,1758.83,SUCCESS,,12.48,1746.35,2026-03-23,RECONCILED
2,2026-01-12,QuickMart,Razorpay,Card,8898.34,SUCCESS,,75.55,8822.79,2026-01-14,UNRECONCILED
3,2026-03-25,QuickMart,Stripe,NetBanking,10549.74,SUCCESS,,180.84,10368.9,2026-03-25,RECONCILED
4,2026-03-31,StyleKart,Cashfree,NetBanking,6396.95,SUCCESS,,41.79,6355.16,2026-04-01,RECONCILED
5,2026-03-19,StyleKart,Stripe,UPI,4041.36,SUCCESS,,79.2,3962.16,2026-03-20,RECONCILED
6,2026-03-22,StyleKart,Cashfree,UPI,9315.94,FAILED,Bank timeout,52.98,0,,NOT_APPLICABLE
7,2026-01-11,QuickMart,Stripe,NetBanking,12844.23,FAILED,Invalid credentials,151.58,0,,NOT_APPLICABLE
8,2026-02-17,TravelNow,Razorpay,Card,5393.53,SUCCESS,,70.18,5323.35,2026-02-17,RECONCILED
9,2026-02-04,FoodHub,Cashfree,NetBanking,14843.9,SUCCESS,,261.89,14582.01,2026-02-04,RECONCILED
10,2026-02-10,TravelNow,PayU,Card,6077.36,SUCCESS,,90.14,5987.22,2026-02-11,RECONCILED
11,2026-01-19,QuickMart,PayU,Wallet,4046.71,SUCCESS,,74.73,3971.98,2026-01-20,RECONCILED
12,2026-03-07,FoodHub,Razorpay,Card,7453.39,SUCCESS,,107.42,7345.97,2026-03-09,RECONCILED
13,2026-02-19,MediPlus,PayU,UPI,5786.13,PENDING,Insufficient funds,87.97,0,,NOT_APPLICABLE
14,2026-02-04,StyleKart,PayU,Wallet,11552.12,SUCCESS,,85.17,11466.95,2026-02-04,RECONCILED
15,2026-03-06,QuickMart,Razorpay,NetBanking,11453.24,SUCCESS,,201.86,11251.38,2026-03-08,RECONCILED
16,2026-02-17,StyleKart,Razorpay,NetBanking,11461.41,SUCCESS,,141.31,11320.1,2026-02-17,RECONCILED
17,2026-01-31,MediPlus,Razorpay,UPI,963.08,FAILED,Insufficient funds,15.39,0,,NOT_APPLICABLE
18,2026-01-17,QuickMart,Cashfree,NetBanking,2013.03,SUCCESS,,26.0,1987.03,2026-01-19,RECONCILED
19,2026-03-11,MediPlus,PayU,Wallet,11353.45,SUCCESS,,226.24,11127.21,2026-03-13,RECONCILED
20,2026-02-27,FoodHub,PayU,UPI,1902.96,SUCCESS,,26.31,1876.65,2026-02-27,RECONCILED
21,2026-01-10,StyleKart,Razorpay,UPI,10646.83,SUCCESS,,190.52,10456.31,2026-01-10,RECONCILED
22,2026-03-27,FoodHub,Stripe,Card,7332.68,SUCCESS,,122.96,7209.72,2026-03-28,RECONCILED
23,2026-03-26,TravelNow,Stripe,UPI,6522.66,SUCCESS,,98.5,6424.16,2026-03-28,RECONCILED
24,2026-02-13,StyleKart,Cashfree,Card,12028.83,SUCCESS,,156.91,11871.92,2026-02-13,RECONCILED
25,2026-03-01,FoodHub,Stripe,UPI,3822.12,FAILED,Limit exceeded,22.01,0,,NOT_APPLICABLE
26,2026-01-12,TravelNow,Cashfree,Wallet,13902.87,FAILED,Bank timeout,170.79,0,,NOT_APPLICABLE
27,2026-01-08,MediPlus,Stripe,NetBanking,2553.09,SUCCESS,,48.25,2504.84,2026-01-09,RECONCILED
28,2026-03-26,FoodHub,PayU,Card,10804.28,SUCCESS,,211.01,10593.27,2026-03-28,RECONCILED
29,2026-02-10,FoodHub,Cashfree,UPI,951.76,SUCCESS,,18.48,933.28,2026-02-10,RECONCILED
