transaction_id,transaction_date,merchant,payment_gateway,payment_method,amount,status,failure_reason,gateway_fee,settlement_amount,settlement_date,reconciliation_status,settlement_variance
2,2026-01-12,QuickMart,Razorpay,Card,8898.34,SUCCESS,,75.55,8822.79,2026-01-14,UNRECONCILED,0.0
32,2026-01-31,MediPlus,PayU,Wallet,4057.66,SUCCESS,,39.53,4018.13,2026-01-31,UNRECONCILED,-0.0
119,2026-03-16,MediPlus,PayU,UPI,5777.28,SUCCESS,,87.37,5689.91,2026-03-17,UNRECONCILED,0.0
187,2026-01-05,QuickMart,PayU,NetBanking,1980.83,SUCCESS,,21.28,1959.55,2026-01-07,UNRECONCILED,0.0
207,2026-02-10,TravelNow,Stripe,Wallet,2928.53,SUCCESS,,53.26,2875.27,2026-02-11,UNRECONCILED,0.0
226,2026-01-07,MediPlus,Stripe,UPI,1592.95,SUCCESS,,24.24,1568.71,2026-01-07,UNRECONCILED,0.0
323,2026-02-08,QuickMart,Cashfree,Card,2143.23,SUCCESS,,12.92,2130.31,2026-02-10,UNRECONCILED,0.0
329,2026-02-23,QuickMart,Stripe,UPI,5544.65,SUCCESS,,29.11,5515.54,2026-02-23,UNRECONCILED,0.0
334,2026-03-27,TravelNow,Razorpay,UPI,11151.23,SUCCESS,,174.17,10977.06,2026-03-29,UNRECONCILED,0.0
399,2026-01-28,FoodHub,Cashfree,NetBanking,12870.96,SUCCESS,,190.15,12680.81,2026-01-30,UNRECONCILED,0.0
404,2026-01-08,TravelNow,Stripe,NetBanking,12100.9,SUCCESS,,184.07,11916.83,2026-01-10,UNRECONCILED,0.0
413,2026-01-17,MediPlus,Stripe,Wallet,9255.75,SUCCESS,,180.3,9075.45,2026-01-18,UNRECONCILED,0.0
508,2026-02-21,MediPlus,Razorpay,Card,9248.09,SUCCESS,,135.06,9113.03,2026-02-22,UNRECONCILED,0.0
512,2026-02-14,QuickMart,Cashfree,Wallet,14452.99,SUCCESS,,273.82,14179.17,2026-02-16,UNRECONCILED,0.0
547,2026-01-03,FoodHub,PayU,Card,2870.47,SUCCESS,,45.15,2825.32,2026-01-05,UNRECONCILED,-0.0
573,2026-01-18,StyleKart,PayU,Card,14901.84,SUCCESS,,122.53,14779.31,2026-01-19,UNRECONCILED,0.0
592,2026-01-06,StyleKart,PayU,Wallet,3786.14,SUCCESS,,41.27,3744.87,2026-01-06,UNRECONCILED,0.0
614,2026-02-06,TravelNow,Cashfree,Card,9434.15,SUCCESS,,47.67,9386.48,2026-02-07,UNRECONCILED,0.0
675,2026-01-25,FoodHub,Cashfree,NetBanking,7847.29,SUCCESS,,103.7,7743.59,2026-01-27,UNRECONCILED,0.0
692,2026-01-19,FoodHub,Razorpay,Card,7384.53,SUCCESS,,114.6,7269.93,2026-01-19,UNRECONCILED,-0.0
710,2026-02-22,TravelNow,Cashfree,Wallet,12868.91,SUCCESS,,225.91,12643.0,2026-02-23,UNRECONCILED,0.0
809,2026-02-24,MediPlus,PayU,Card,9045.85,SUCCESS,,173.76,8872.09,2026-02-24,UNRECONCILED,0.0
839,2026-03-19,TravelNow,Stripe,UPI,3963.83,SUCCESS,,20.17,3943.66,2026-03-19,UNRECONCILED,0.0
841,2026-03-30,FoodHub,Stripe,NetBanking,10139.67,SUCCESS,,64.03,10075.64,2026-03-30,UNRECONCILED,0.0
947,2026-02-27,StyleKart,Cashfree,Card,12808.87,SUCCESS,,122.75,12686.12,2026-03-01,UNRECONCILED,0.0
971,2026-02-20,StyleKart,Cashfree,UPI,14089.96,SUCCESS,,145.81,13944.15,2026-02-20,UNRECONCILED,0.0
987,2026-03-13,MediPlus,Cashfree,Wallet,9129.78,SUCCESS,,72.45,9057.33,2026-03-13,UNRECONCILED,0.0
991,2026-02-24,QuickMart,Razorpay,NetBanking,11061.4,SUCCESS,,160.0,10901.4,2026-02-26,UNRECONCILED,0.0
